Transaction ID,Timestamp,Sender Name,Sender UPI ID,Receiver Name,Receiver UPI ID,Amount (INR),Status
100000,2024-01-01 00:00:00,Priya,user118@okaxis,Amazon,merchant1404@oksbi,3003.69,Success
100001,2024-01-01 00:01:00,Suresh,user154@okaxis,Amazon,merchant1213@oksbi,9621.4,Success
100002,2024-01-01 00:02:00,Neha,user199@okaxis,IRCTC,merchant1684@oksbi,5360.99,Success
100003,2024-01-01 00:03:00,Suresh,user144@okaxis,IRCTC,merchant1902@oksbi,6186.73,Success
100004,2024-01-01 00:04:00,Suresh,user107@okaxis,Flipkart,merchant1502@oksbi,6809.92,Success
100005,2024-01-01 00:05:00,Ravi,user192@okaxis,Amazon,merchant1720@oksbi,6670.65,Success
100006,2024-01-01 00:06:00,Neha,user152@okaxis,Flipkart,merchant1447@oksbi,5114.6,Success
100007,2024-01-01 00:07:00,Neha,user154@okaxis,IRCTC,merchant1893@oksbi,4293.36,Success
100008,2024-01-01 00:08:00,Neha,user131@okaxis,Paytm,merchant1575@oksbi,547.28,Success
100009,2024-01-01 00:09:00,Suresh,user150@okaxis,Swiggy,merchant1257@oksbi,230.64,Success
100010,2024-01-01 00:10:00,Priya,user143@okaxis,Flipkart,merchant1843@oksbi,3586.03,Success
100011,2024-01-01 00:11:00,Neha,user181@okaxis,Paytm,merchant1120@oksbi,3343.27,Success
100012,2024-01-01 00:12:00,Anjali,user169@okaxis,Swiggy,merchant1809@oksbi,3883.07,Success
100013,2024-01-01 00:13:00,Suresh,user117@okaxis,Zomato,merchant1977@oksbi,1392.3,Success
100014,2024-01-01 00:14:00,Ravi,user182@okaxis,Flipkart,merchant1053@oksbi,7384.3,Success
100015,2024-01-01 00:15:00,Priya,user121@okaxis,Flipkart,merchant1330@oksbi,8571.07,Success
100016,2024-01-01 00:16:00,Anjali,user136@okaxis,Zomato,merchant1783@oksbi,9387.76,Success
100017,2024-01-01 00:17:00,Anjali,user195@okaxis,Zomato,merchant1240@oksbi,4928.7,Success
100018,2024-01-01 00:18:00,Ravi,user155@okaxis,Flipkart,merchant1754@oksbi,7011.65,Success
100019,2024-01-01 00:19:00,Priya,user158@okaxis,Zomato,merchant1529@oksbi,8556.96,Success
100020,2024-01-01 00:20:00,Suresh,user102@okaxis,Amazon,merchant1482@oksbi,4188.73,Success
100021,2024-01-01 00:21:00,Amit,user127@okaxis,Swiggy,merchant1186@oksbi,3101.03,Success
100022,2024-01-01 00:22:00,Priya,user173@okaxis,Swiggy,merchant1857@oksbi,9367.88,Success
100023,2024-01-01 00:23:00,Ravi,user134@okaxis,Swiggy,merchant1655@oksbi,5161.61,Success
100024,2024-01-01 00:24:00,Anjali,user160@okaxis,Amazon,merchant1261@oksbi,4977.57,Success
100025,2024-01-01 00:25:00,Suresh,user192@okaxis,Zomato,merchant1952@oksbi,1792.38,Success
100026,2024-01-01 00:26:00,Priya,user153@okaxis,Paytm,merchant1363@oksbi,1090.47,Success
100027,2024-01-01 00:27:00,Amit,user162@okaxis,Zomato,merchant1490@oksbi,8422.65,Success
100028,2024-01-01 00:28:00,Amit,user178@okaxis,Flipkart,merchant1430@oksbi,6145.19,Success
100029,2024-01-01 00:29:00,Neha,user196@okaxis,IRCTC,merchant1238@oksbi,3264.99,Success
100030,2024-01-01 00:30:00,Neha,user106@okaxis,Swiggy,merchant1303@oksbi,1925.44,Success
100031,2024-01-01 00:31:00,Ravi,user175@okaxis,Zomato,merchant1297@oksbi,5559.42,Success
100032,2024-01-01 00:32:00,Priya,user148@okaxis,Paytm,merchant1075@oksbi,5843.35,Success
100033,2024-01-01 00:33:00,Priya,user193@okaxis,Flipkart,merchant1699@oksbi,2077.87,Success
100034,2024-01-01 00:34:00,Anjali,user184@okaxis,Amazon,merchant1332@oksbi,8515.54,Success
100035,2024-01-01 00:35:00,Anjali,user130@okaxis,Amazon,merchant1899@oksbi,851.8,Success
100036,2024-01-01 00:36:00,Anjali,user157@okaxis,Paytm,merchant1998@oksbi,3567.37,Success
100037,2024-01-01 00:37:00,Neha,user160@okaxis,Flipkart,merchant1757@oksbi,6807.04,Success
100038,2024-01-01 00:38:00,Priya,user123@okaxis,Swiggy,merchant1641@oksbi,2748.46,Success
100039,2024-01-01 00:39:00,Priya,user119@okaxis,Zomato,merchant1473@oksbi,8278.48,Success
100040,2024-01-01 00:40:00,Amit,user136@okaxis,Flipkart,merchant1826@oksbi,7401.28,Success
100041,2024-01-01 00:41:00,Neha,user103@okaxis,Amazon,merchant1922@oksbi,7892.34,Success
100042,2024-01-01 00:42:00,Suresh,user191@okaxis,Paytm,merchant1282@oksbi,1199.87,Success
100043,2024-01-01 00:43:00,Neha,user119@okaxis,Paytm,merchant1590@oksbi,1414.07,Success
100044,2024-01-01 00:44:00,Suresh,user159@okaxis,Zomato,merchant1071@oksbi,2871.87,Success
100045,2024-01-01 00:45:00,Amit,user123@okaxis,Paytm,merchant1262@oksbi,5185.59,Success
100046,2024-01-01 00:46:00,Ravi,user149@okaxis,Paytm,merchant1702@oksbi,7482.68,Failed
100047,2024-01-01 00:47:00,Priya,user148@okaxis,Flipkart,merchant1878@oksbi,8366.94,Success
100048,2024-01-01 00:48:00,Amit,user150@okaxis,Swiggy,merchant1886@oksbi,7046.31,Success
100049,2024-01-01 00:49:00,Priya,user195@okaxis,Zomato,merchant1941@oksbi,9286.68,Success
100050,2024-01-01 00:50:00,Anjali,user135@okaxis,Flipkart,merchant1574@oksbi,7390.05,Success
100051,2024-01-01 00:51:00,Ravi,user197@okaxis,Swiggy,merchant1999@oksbi,3069.62,Success
100052,2024-01-01 00:52:00,Ravi,user199@okaxis,Flipkart,merchant1891@oksbi,2658.16,Success
100053,2024-01-01 00:53:00,Amit,user165@okaxis,IRCTC,merchant1011@oksbi,6964.96,Success
100054,2024-01-01 00:54:00,Ravi,user178@okaxis,Flipkart,merchant1140@oksbi,1936.78,Success
100055,2024-01-01 00:55:00,Suresh,user133@okaxis,Paytm,merchant1765@oksbi,936.22,Success
100056,2024-01-01 00:56:00,Ravi,user135@okaxis,Swiggy,merchant1554@oksbi,5326.91,Success
100057,2024-01-01 00:57:00,Priya,user105@okaxis,Zomato,merchant1016@oksbi,8218.2,Success
100058,2024-01-01 00:58:00,Priya,user138@okaxis,Zomato,merchant1062@oksbi,1022.78,Success
100059,2024-01-01 00:59:00,Priya,user141@okaxis,Swiggy,merchant1252@oksbi,7920.99,Success
100060,2024-01-01 01:00:00,Priya,user157@okaxis,Paytm,merchant1464@oksbi,8117.6,Success
100061,2024-01-01 01:01:00,Suresh,user111@okaxis,Amazon,merchant1375@oksbi,4827.92,Success
100062,2024-01-01 01:02:00,Neha,user102@okaxis,Flipkart,merchant1803@oksbi,582.53,Success
100063,2024-01-01 01:03:00,Anjali,user117@okaxis,Paytm,merchant1980@oksbi,1754.15,Success
100064,2024-01-01 01:04:00,Amit,user139@okaxis,IRCTC,merchant1519@oksbi,7077.19,Success
100065,2024-01-01 01:05:00,Priya,user120@okaxis,Swiggy,merchant1836@oksbi,7120.66,Failed
100066,2024-01-01 01:06:00,Ravi,user114@okaxis,Flipkart,merchant1089@oksbi,8984.57,Fraud
100067,2024-01-01 01:07:00,Priya,user196@okaxis,Zomato,merchant1719@oksbi,5831.03,Success
100068,2024-01-01 01:08:00,Ravi,user198@okaxis,Amazon,merchant1803@oksbi,1249.83,Success
100069,2024-01-01 01:09:00,Anjali,user125@okaxis,IRCTC,merchant1795@oksbi,1222.93,Success
100070,2024-01-01 01:10:00,Anjali,user107@okaxis,Zomato,merchant1629@oksbi,7214.11,Success
100071,2024-01-01 01:11:00,Anjali,user199@okaxis,Swiggy,merchant1860@oksbi,1846.01,Success
100072,2024-01-01 01:12:00,Ravi,user193@okaxis,Flipkart,merchant1174@oksbi,3290.57,Success
100073,2024-01-01 01:13:00,Priya,user186@okaxis,Swiggy,merchant1075@oksbi,4877.25,Failed
